Service description,Service ID,SKU description,SKU ID,Usage amount,Usage unit,Cost (€),Savings programmes (€),Other savings (€),Unrounded subtotal (€),Subtotal (€),Percent change in subtotal compared to previous period
Gemini API,AEFD-7695-64FA,Generate content output token count gemini 3.5 flash text,F9BE-D8E8-69E9,"1,527,517",count,12.03,0.00,0.00,12.033301,12.03,New
Gemini API,AEFD-7695-64FA,Generate content output token count gemini 3.6 flash text,90DC-1471-C3D3,"1,512,339",count,9.93,0.00,0.00,9.928094,9.93,New
Gemini API,AEFD-7695-64FA,Generate content output token count Gemini 2.5 Pro short output text,0F51-429B-C2DC,"1,095,157",count,9.59,0.00,0.00,9.585901,9.59,New
Artifact Registry,149C-F9EC-3994,Artifact Registry Storage,8502-299A-ABAF,19.83,gibibyte month,1.69,0.00,0.00,1.691069,1.69,705%
Gemini API,AEFD-7695-64FA,Generate content input token count gemini 3.6 flash text,2F9F-F0E4-699C,"500,097",count,0.66,0.00,0.00,0.656574,0.66,New
Gemini API,AEFD-7695-64FA,Generate content input token count gemini 3.5 flash text,63AC-2BA8-3F85,"426,731",count,0.56,0.00,0.00,0.560257,0.56,New
Gemini API,AEFD-7695-64FA,Generate content input token count Gemini 2.5 Pro short input text,2D1C-F790-3C09,"223,430",count,0.24,0.00,0.00,0.244453,0.24,New
Cloud Storage,95FF-2EF5-5EA1,Network Data Transfer GCP Multi-region within Northern America,3C8A-99C5-F47B,2.73,gibibyte,0.05,0.00,0.00,0.047845,0.05,New
Cloud Storage,95FF-2EF5-5EA1,Network Data Transfer GCP Replication within Northern America,AED0-3315-7B11,2.73,gibibyte,0.05,0.00,0.00,0.047843,0.05,New
Cloud Run,152E-C115-5142,"Cloud Run Network Internet Data Transfer Out Intercontinental (Excl Oceania, Africa and China)",DBAA-7594-B9FA,0.43,gibibyte,0.04,0.00,0.00,0.044905,0.04,New
Cloud Storage,95FF-2EF5-5EA1,Standard Storage US Multi-region,0D5D-6E23-4250,1.92,gibibyte month,0.04,0.00,0.00,0.043715,0.04,New
Secret Manager,EE82-7A5E-871C,Secret version replica storage,7756-ADEF-84F4,6.53,month,0.03,0.00,0.00,0.028022,0.03,New
Cloud Build,8B5D-EF7D-EB12,Cloud Build: Network Data Transfer Out Internet Premium within North America,D5F9-06F3-71E0,0.03,gibibyte,0.00,0.00,0.00,0.002663,0.00,0%
Cloud Storage,95FF-2EF5-5EA1,Multi-Region Standard Class B Operations,8AE7-5BBD-8F38,"3,515",count,0.00,0.00,0.00,0.001214,0.00,0%
Cloud Storage,95FF-2EF5-5EA1,Multi-Region Standard Class A Operations,9ADA-9AED-1B24,63,count,0.00,0.00,0.00,0.000544,0.00,0%
Cloud Run,152E-C115-5142,Services Memory (Request-based billing),02A2-9231-36A6,"11,620.1",gibibyte second,0.03,0.00,-0.03,0.000000,0.00,0%
Cloud Logging,5490-F7B7-8DF6,Log Storage cost,143F-A1B0-E0BE,0.02,gibibyte,0.00,0.00,0.00,0.000000,0.00,0%
Cloud Run,152E-C115-5142,Requests,2DA5-55D3-E679,"2,956",count,0.00,0.00,0.00,0.000000,0.00,0%
Cloud Run,152E-C115-5142,Services CPU (Request-based billing),4856-B847-F1EB,"24,259.32",second,0.51,0.00,-0.51,0.000000,0.00,0%
Cloud Storage,95FF-2EF5-5EA1,Regional Standard Class A Operations,4DBF-185F-A415,1,count,0.00,0.00,0.00,0.000000,0.00,0%
Cloud Run,152E-C115-5142,Services Min Instance Memory (Request-based billing),740D-08F2-7A11,7.8,gibibyte second,0.00,0.00,-0.00,0.000000,0.00,New
Cloud Storage,95FF-2EF5-5EA1,Regional Standard Class B Operations,7870-010B-2763,4,count,0.00,0.00,0.00,0.000000,0.00,0%
Cloud Run,152E-C115-5142,Services Min Instance CPU (Request-based billing),7EBB-8579-2C98,15.61,second,0.00,0.00,-0.00,0.000000,0.00,New
Cloud Build,8B5D-EF7D-EB12,Build time e2-standard-2,A464-9020-6404,199.7,minute,0.00,0.00,0.00,0.000000,0.00,0%
Cloud Storage,95FF-2EF5-5EA1,Standard Storage US Regional,E5F0-6A5D-7BAD,0.12,gibibyte month,0.00,0.00,0.00,0.000000,0.00,0%
Secret Manager,EE82-7A5E-871C,Secret access operations,EBA7-264F-2D2C,474,count,0.00,0.00,0.00,0.000000,0.00,0%
,,,,,,,,Subtotal,34.916400,34.92
,,,,,,,,Tax,0.000000,0.00
,,,,,,,,Filtered total,34.916400,34.92
